Hugo_Symbol	Chromosome
FAM25HP	10q11.22
FAM27A	9p11.2
FAM27AP1	9q21.11
FAM27B	9q21.11
FAM27C	9q13
FAM27D1	9p11.2
FAM27E1	9p11.2
FAM27E2	9p11.2
FAM27E3	9q21.11
FAM27E4	9q13
FAM27E5	17p11.2
FAM30A	14q32.33
FAM30B	15q11.1
FAM30C	15q11.2
FAM32A	19p13.11
FAM32BP	22q11.1
FAM32CP	10q22.2
FAM32DP	18q22.1
FAM32EP	12q24.32
FAM35EP	10q11.22
FAM38B2	18p11.21
FAM41AY1	Yq11.222
FAM41AY2	Yq11.222
FAM41BY	Yq11.222
FAM41C	1p36.33
FAM43A	3q29
FAM43B	1p36.12
FAM47A	Xp21.1
FAM47B	Xp21.1
FAM47C	Xp21.1
FAM47DP	Xp21.1
FAM47E	4q21.1
FAM47E-STBD1	4q21.1
FAM50A	Xq28
FAM50B	6p25.2
FAM53A	4p16.3
FAM53B	10q26.13
FAM53B-AS1	10q26.13
FAM53C	5q31.2
FAM66A	8p23.1
FAM66B	8p23.1
FAM66C	12p13.31
FAM66D	8p23.1
FAM66E	8p23.1
FAM67A	8p23.1
FAM67B	8p23.1
FAM71A	1q32.3
FAM71B	5q33.3
FAM71BP1	9p21.2
FAM71C	12q23.1
FAM71D	14q23.3
FAM71E1	19q13.33
FAM71E2	19q13.42
FAM71F1	7q32.1
FAM71F2	7q32.1
FAM72A	1q32.1
FAM72B	1p11.2
FAM72C	1q21.1
FAM72D	1q21.1
FAM74A1	9p12
FAM74A2	9p12
FAM74A3	9q21.11
FAM74A4	9q12
FAM74A5	9p13.1
FAM74A6	9q12
FAM74A7	9p11.2-p11.1
FAM76A	1p35.3
FAM76B	11q21
FAM78A	9q34.13
FAM78B	1q24.1
FAM78B-AS1	1q24.1
FAM81A	15q22.2
FAM81B	5q15
FAM83A	8q24.13
FAM83A-AS1	8q24.13
FAM83B	6p12.1
FAM83C	20q11.22
FAM83C-AS1	20q11.22
FAM83D	20q11.23
FAM83E	19q13.33
FAM83F	22q13.1
FAM83G	17p11.2
FAM83H	8q24.3
FAM83H-AS1	8q24.3
FAM85A	8p23.1
FAM85B	8p23.1
FAM86B1	8p23.1
FAM86B2	8p23.1
FAM86B3P	8p23.1
FAM86C1P	11q13.4
FAM86C2P	11q13.2
FAM86DP	3p12.3
FAM86EP	4p16.3
FAM86FP	12p13.31
FAM86GP	11p15.4
FAM86HP	3q22.1
FAM86JP	3q21.2
FAM86KP	4p16.1
FAM86LP	7p22.1
FAM86MP	4p16.1
FAM87A	8p23.3
FAM87B	1p36.33
FAM89A	1q42.2
FAM89B	11q13.1
FAM90A1	12p13.31
FAM90A2P	8p23.1
FAM90A3P	8p23.1
FAM90A4P	8p23.1
FAM90A5P	8p23.1
FAM90A6P	8p23.1
FAM90A7P	8p23.1
FAM90A8P	8p23.1
FAM90A9P	8p23.1
FAM90A10P	8p23.1
FAM90A11P	8p23.1
FAM90A12P	8p23.1
FAM90A13P	8p23.1
FAM90A14P	8p23.1
FAM90A15P	8p23.1
FAM90A16P	8p23.1
FAM90A17P	8p23.1
FAM90A18P	8p23.1
FAM90A19P	8p23.1
FAM90A20P	8p23.1
FAM90A21P	8p23.1
FAM90A22P	8p23.1
FAM90A23P	8p23.1
FAM90A24P	8p23.1
FAM90A25P	8p23.1
FAM90A26	4p16.1
FAM90A27P	19q13.42
FAM90A28P	19q13.42
FAM91A1	8q24.13
FAM91A2P	1q21.2
FAM91A3P	1q21.1
FAM91A4P	1p11.2
FAM93A	8p23.1
FAM93B	8p23.1
FAM95A	2q11.1
FAM95B1	9p11.2
FAM95C	9p13.1
FAM96AP1	3p24.1
FAM96AP2	1q42.13
FAM98A	2p22.3
FAM98B	15q14
FAM98C	19q13.2
FAM99A	11p15.5
FAM99B	11p15.5
FAM102A	9q34.11
FAM102B	1p13.3
FAM104A	17q25.1
FAM104B	Xp11.21
FAM106A	17p11.2
FAM106B	17p11.2
FAM106C	17p11.2
FAM106DP	17q23.1
FAM107A	3p14.3-p14.2
FAM107B	10p13
FAM108A11P	1q21.1
FAM110A	20p13
FAM110B	8q12.1
FAM110C	2p25.3
FAM110D	1p36.11
FAM111A	11q12.1
FAM111A-DT	11q12.1
FAM111B	11q12.1
FAM114A1	4p14
FAM114A2	5q33.2
FAM117A	17q21.33
FAM117B	2q33.2
FAM118A	22q13.31
FAM118B	11q24.2
FAM120A	9q22.31
FAM120AOS	9q22.31
FAM120B	6q27
FAM120C	Xp11.22
FAM122A	9q21.11
FAM122B	Xq26.3
FAM122C	Xq26.3
FAM124A	13q14.3
FAM124B	2q36.2
FAM126A	7p15.3
FAM126B	2q33.1
FAM131A	3q27.1
FAM131B	7q34
FAM131C	1p36.13
FAM133A	Xq21.32
FAM133B	7q21.2
FAM133CP	10q21.1
FAM133DP	2q24.1
FAM133EP	2p23.2
FAM133FP	1q42.13
FAM133GP	12p12.1
FAM135A	6q13
FAM135A-AS1	6q13
FAM135B	8q24.23
FAM136A	2p13.3
FAM136BP	6p25.2
FAM138A	1p36.33
FAM138B	2q14.1
FAM138C	9p24.3
FAM138D	12p13.33
FAM138E	15q26.3
FAM138F	19p13.3
FAM149A	4q35.1
FAM149B1	10q22.2
FAM149B1P1	15q26.2
FAM151A	1p32.3
FAM151B	5q14.1
FAM153A	5q35.3
FAM153B	5q35.2
FAM153CP	5q35.3
FAM153DP	16p11.2
FAM155A	13q33.3
FAM155A-IT1	13q33.3
FAM155B	Xq13.1
FAM156A	Xp11.22
FAM156B	Xp11.22
FAM157A	3q29
FAM157B	9q34.3
FAM157C	16q24.3
FAM160A1	4q31.3
FAM160A1-DT	4q31.3
FAM160A2	11p15.4
FAM160B1	10q25.3
FAM160B2	8p21.3
FAM161A	2p15
FAM161B	14q24.3
FAM162A	3q21.1
FAM162B	6q22.1
FAM163A	1q25.2
FAM163B	9q34.2
FAM166A	9q34.3
FAM166B	9p13.3
FAM166C	2p23.3
FAM167A	8p23.1
FAM167A-AS1	8p23.1
FAM167B	1p35.2
FAM168A	11q13.4
FAM168B	2q21.1
FAM169A	5q13.3
FAM169B	15q26.3
FAM170A	5q23.1
FAM170B	10q11.23
FAM170B-AS1	10q11.23
FAM171A1	10p13
FAM171A2	17q21.31
FAM171B	2q32.1
FAM172A	5q15
FAM172BP	3q12.3
FAM174A	5q21.1
FAM174B	15q26.1
FAM174C	19p13.3
FAM177A1	14q13.2
FAM177A1P1	4q23
FAM177B	1q41
FAM178B	2q11.2
FAM180A	7q33
FAM180B	11p11.2
FAM181A	14q32.12
FAM181A-AS1	14q32.12
FAM181B	11q14.1
FAM182A	20p11.1
FAM182B	20p11.1
FAM183A	1p34.2
FAM183BP	7p14.1
FAM183DP	2q12.1
FAM183EP	1q41
FAM184A	6q22.31
FAM184B	4p15.32-p15.31
FAM185A	7q22.1
FAM185BP	7q11.23
FAM186A	12q13.12
FAM186B	12q13.12
FAM187A	17q21.31
FAM187B	19q13.12
FAM187B2P	19q13.12
FAM189A1	15q13.1
FAM189A2	9q21.12
FAM189B	1q22
FAM192BP	4q31.3
FAM193A	4p16.3
FAM193B	5q35.3
FAM197Y1	Yp11.2
FAM197Y2	Yp11.2
FAM197Y3	Yp11.2
FAM197Y4	Yp11.2
FAM197Y5	Yp11.2
FAM197Y6	Yp11.2
FAM197Y7	Yp11.2
FAM197Y8	Yp11.2
FAM197Y9	Yp11.2
FAM197Y10	Yq11.223
FAM198B-AS1	4q32.1
FAM199X	Xq22.2
FAM199YP	Yp11.2
FAM200A	7q22.1
FAM200B	4p15.32
FAM201A	9p13.1
FAM201B	2q21.2
FAM201CP	Yq11.1
FAM202A	1q32.1
FAM202B	Yq11.23
FAM202C	Yq11.223
FAM203B	8q24.3
FAM204A	10q26.11
FAM204BP	1q31.3
FAM204CP	13q22.2
FAM204DP	14q24.3
FAM205A	9p13.3
FAM205BP	9p13.3
FAM205C	9p13.3
FAM207A	21q22.3
FAM207BP	13q11
FAM207CP	21q11.2
FAM209A	20q13.31
FAM209B	20q13.31
FAM210A	18p11.21
FAM210B	20q13.2
FAM210CP	10p12.1
FAM214A	15q21.2-q21.3
FAM214B	9p13.3
FAM214BP1	3q13.31
FAM215A	17q21.31
FAM215B	17q21.31
FAM216A	12q24.11
FAM216B	13q14.11
FAM217A	6p25.2
FAM217AP1	9p24.3
FAM217B	20q13.33
FAM218A	4q32.3
FAM218BP	4q32.3
FAM219A	9p13.3
FAM219B	15q24.1-q24.2
FAM220A	7p22.1
FAM220BP	9p13.1
FAM220CP	9q22.33
FAM221A	7p15.3
FAM221B	9p13.3
FAM222A	12q24.11
FAM222A-AS1	12q24.11
FAM222B	17q11.2
FAM223A	Xq28
FAM223B	Xq28
FAM224A	Yq11.222
FAM224B	Yq11.222
FAM225A	9q32
FAM225B	9q32
FAM226A	Xq13.1
FAM226B	Xq13.1
FAM227A	22q13.1
FAM227B	15q21.2
FAM228A	2p23.3
FAM228B	2p23.3
FAM229A	1p35.1
FAM229B	6q21
FAM230A	22q11.21
FAM230B	22q11.21
FAM230C	13q11
FAM230D	22q11.21
FAM230E	22q11.21
FAM230F	22q11.21
FAM230G	22q11.21
FAM230H	22q11.21
FAM230I	22q11.23
FAM230J	22q11.21
FAM231AP	1p36.13
FAM231BP	1p36.13
FAM231C	1p36.13
FAM231D	1q21.2
FAM231EP	1p36.13
FAM234A	16p13.3
FAM234B	12p13.1
FAM236A	Xq13.1
FAM236B	Xq13.1
FAM236C	Xq13.1
FAM236D	Xq13.1
FAM237A	2q33.3
FAM237B	7q21.13
FAM238A	10p12.1
FAM238B	10p12.1
FAM238C	10p12.1
FAM239A	Xp22.33
FAM239B	Xp22.33
FAM239C	Xp22.33
FAM240A	3p21.31
FAM240B	9p13.1
FAM240C	2q37.3
FAM241A	4q25
FAM241B	10q22.1
FAM242A	20q11.1
FAM242B	20q11.1
FAM242C	12q13.13
FAM242D	9q13
FAM242E	9q13
FAM242F	9p11.2
FAM243A	21q22.12
FAM243B	21p11.2
FAM245A	10q23.2
FAM245B	10q11.22
FAM246A	22q11.21
FAM246B	22q11.21
FAM246C	22q11.21
FAM247A	22q11.21
FAM247B	22q11.21
FAM247C	22q11.21
FAM247D	22q11.21
FAN1	15q13.3
FANCA	16q24.3
FANCB	Xp22.2
FANCC	9q22.32
FANCD1	reserved
FANCD2	3p25.3
FANCD2OS	3p25.3
FANCD2P1	3p25.3
FANCD2P2	3p25.2
FANCE	6p21.31
FANCF	11p14.3
FANCG	9p13.3
FANCH	reserved
FANCI	15q26.1
FANCL	2p16.1
FANCM	14q21.2
FANK1	10q26.2
FANK1-AS1	10q26.2
FAP	2q24.2
FAR1	11p15.3
FAR1-IT1	11p15.3
FAR1P1	13q31.3
FAR2	12p11.22
FAR2P1	2q21.1
FAR2P2	2q21.1
FAR2P3	2q21.1
FAR2P4	2q21.1
FARP1	13q32.2
FARP1-AS1	13q32.2
FARP1-IT1	13q32.2
FARP2	2q37.3
FARS2	6p25.1
FARSA	19p13.13
FARSA-AS1	19p13.13
FARSB	2q36.1
FARSBP1	10q23.1
FAS	10q23.31
FAS-AS1	10q23.31
FAS1	
FASLG	1q24.3
FASN	17q25.3
FASTK	7q36.1
FASTKD1	2q31.1
FASTKD2	2q33.3
FASTKD3	5p15.31
FASTKD5	20p13
FAT1	4q35.2
FAT1P1	20p12.2
FAT2	5q33.1
FAT3	11q14.3
FAT4	4q28.1
FATE1	Xq28
FAU	11q13.1
FAUNA@	11q13
FAUP1	18q22.3
FAUP2	3q26.33
FAUP3	4q35.2
FAXC	6q16.2
FAXDC2	5q33.2
FBF1	17q25.1
FBH1	10p15.1
FBL	19q13.2
FBLIM1	1p36.21
FBLIM1P1	
FBLIM1P2	11p11.2
FBLL1	5q34
FBLN1	22q13.31
FBLN2	3p25.1
FBLN4	reserved
FBLN5	14q32.12
FBLN7	2q13
FBN1	15q21.1
FBN2	5q23.3
FBN3	19p13.2
FBNL	
FBP1	9q22.32
FBP2	9q22.32
FBP2P1	9q22.1
FBRS	16p11.2
FBRSL1	12q24.33
FBXL2	3p22.3
FBXL3	13q22.3
FBXL4	6q16.1-q16.2
FBXL5	4p15.32
FBXL6	8q24.3
FBXL7	5p15.1
FBXL8	16q22.1
FBXL12	19p13.2
FBXL12P1	2p14
FBXL13	7q22.1
FBXL14	12p13.33
FBXL15	10q24.32
FBXL16	16p13.3
FBXL17	5q21.3
FBXL18	7p22.1
FBXL19	16p11.2
FBXL19-AS1	16p11.2
FBXL20	17q12
FBXL21P	5q31.1
FBXL22	15q22.31
FBXO2	1p36.22
FBXO3	11p13
FBXO3-DT	11p13
FBXO4	5p13.1
FBXO5	6q25.2
FBXO6	1p36.22
FBXO7	22q12.3
FBXO8	4q34.1
FBXO9	6p12.1
FBXO10	9p13.2
FBXO11	2p16.3
FBXO14	
FBXO15	18q22.3
FBXO16	8p21.1
FBXO17	19q13.2
FBXO20	reserved
FBXO21	12q24.22
FBXO22	15q24.2
FBXO22-AS1	15q24.2
FBXO24	7q22.1
FBXO25	8p23.3
FBXO27	19q13.2
FBXO28	1q42.11
FBXO30	6q24.3
FBXO30-DT	6q24.3
FBXO31	16q24.2
FBXO32	8q24.13
FBXO33	14q21.1
FBXO34	14q22.3
FBXO36	2q36.3
FBXO36-IT1	2q36.3
FBXO36P1	17q24.2
FBXO38	5q32
FBXO39	17p13.1
FBXO40	3q13.33
FBXO41	2p13.2
FBXO42	1p36.13
FBXO43	8q22.2
FBXO44	1p36.22
FBXO45	3q29
FBXO46	19q13.32
FBXO47	17q12
FBXO48	2p13.3
FBXW1BP	21
FBXW2	9q33.2
FBXW4	10q24.32
FBXW4P1	22q11.23
FBXW5	9q34.3
FBXW7	4q31.3
FBXW7-AS1	4q31.3
FBXW8	12q24.22
FBXW9	19p13.13
FBXW10	17p11.2
FBXW10P1	17
FBXW11	5q35.1
FBXW11P1	21q22.11
FBXW12	3p21.31
FCAMR	1q32.1
FCAR	19q13.42
FCER1A	1q23.2
FCER1B	
FCER1G	1q23.3
FCER2	19p13.2
FCF1	14q24.3
FCF1P1	7p15.3
FCF1P2	3p21.31
FCF1P3	3q13.12
FCF1P4	Xq23
FCF1P5	6q21
FCF1P6	1p32.3
FCF1P7	1q43
FCF1P8	4q12
FCF1P9	Xq21.2
FCF1P10	6q21
FCF1P11	7q34
FCGBP	19q13.2
FCGR1A	1q21.2
FCGR1B	1p11.2
FCGR1CP	1q21.1
FCGR2A	1q23.3
FCGR2A1	
FCGR2B	1q23.3
FCGR2C	1q23.3
FCGR3A	1q23.3
FCGR3B	1q23.3
FCGRT	19q13.33
FCHO1	19p13.11
FCHO2	5q13.2
FCHSD1	5q31.3
FCHSD2	11q13.4
FCMR	1q32.1
FCMTE1	8q24
FCMTE2	2p11.1-q12.2
FCMTE3	5p15.31-p15
FCN1	9q34.3
FCN2	9q34.3
FCN3	1p36.11
FCP	
FCP1	Xp22.2
FCRL1	1q23.1
FCRL2	1q23.1
FCRL3	1q23.1
FCRL4	1q23.1
FCRL5	1q23.1
FCRL6	1q23.2
FCRL6P1	1q23.2
FCRLA	1q23.3
FCRLB	1q23.3
FCSK	16q22.1
FCT3A	
FDCSP	4q13.3
FDFT1	8p23.1
FDH	4q21-q25
FDPS	1q22
FDPSP1	1q31.1
FDPSP2	7q11.23
FDPSP3	14q22.2
FDPSP4	15q15.2
FDPSP5	Xp11.3
FDPSP6	21q21.1
FDPSP7	7q11.23
FDPSP8	1q32.3
FDPSP9	15q25.1
FDPSP10	15q15.2
FDX1	11q22.3
FDX1P1	20q11.22
FDX1P2	21q21.3
FDX2	19p13.2
FDXACB1	11q23.1
FDXR	17q25.1
FEB1	8q13-q21
FEB2	19p13.3
FEB3	2q23-q24
FEB4	5q14-q15
FEB5	6q22-q24
FEB6	18p11.2
FEB7	21q22
FECD	reserved
FECH	18q21.31
FECHP1	3p22.3
FEM1A	19p13.3
FEM1AP1	21q11.2
FEM1AP2	18p11.21
FEM1AP3	6q21
FEM1AP4	13q11
FEM1B	15q23
FEM1C	5q22.3
FEN1	11q12.2
FEN1P1	1p22.2
FENDRR	16q24.1
FEOM1	12p12.1-q13.2
FEOM2	11q13.2
FEOM3	16q24.2-q24.3
FER	5q21.3
FER1L4	20q11.22
FER1L5	2q11.2
FER1L6	8q24.13
FER1L6-AS1	8q24.13
FER1L6-AS2	8q24.13
FERD3L	7p21.1
FERMT1	20p12.3
FERMT2	14q22.1
FERMT3	11q13.1
FERP1	Xq25
FES	15q26.1
FETUB	3q27.3
FEV	2q35
FEZ1	11q24.2
FEZ2	2p22.2
FEZF1	7q31.32
FEZF1-AS1	7q31.32
FEZF2	3p14.2
FFAR1	19q13.12
FFAR2	19q13.12
FFAR3	19q13.12
FFAR4	10q23.33
FGA	4q31.3
FGB	4q31.3
FGD1	Xp11.22
FGD2	6p21.2
FGD3	9q22.31
FGD4	12p11.21
FGD5	3p25.1
FGD5-AS1	3p25.1
FGD5P1	3p25.1
FGD6	12q22
FGF1	5q31.3
FGF2	4q28.1
FGF3	11q13.3
FGF4	11q13.3
FGF5	4q21.21
FGF6	12p13.32
FGF7	15q21.2
FGF7L	21
FGF7P1	18p11.21
FGF7P2	21q11.2
FGF7P3	9p12
FGF7P4	9p11.1
FGF7P5	9p11.1
FGF7P6	9q13
FGF7P7	9q13
FGF7P8	9q13
FGF8	10q24.32
FGF9	13q12.11
FGF10	5p12
FGF10-AS1	5p12
FGF11	17p13.1
FGF12	3q28-q29
FGF12-AS1	3q28
FGF12-AS2	3q28
FGF12-AS3	3q28
FGF12B	reserved
FGF13	Xq26.3-q27.1
FGF13-AS1	Xq26.3
FGF14	13q33.1
FGF14-AS1	13q33.1
FGF14-AS2	13q33.1
FGF14-IT1	13q33.1
FGF16	Xq21.1
FGF17	8p21.3
FGF18	5q35.1
FGF19	11q13.3
FGF20	8p22
FGF21	19q13.33
FGF22	19p13.3
FGF23	12p13.32
FGFBP1	4p15.32
FGFBP2	4p15.32
FGFBP3	10q23.32
FGFR1	8p11.23
FGFR1OP2	12p11.23
FGFR1OP2P1	13q12.13
FGFR2	10q26.13
FGFR3	4p16.3
FGFR3P1	6p21.33
FGFR3P2	11q21
FGFR3P3	20p12.3
FGFR3P4	3q26.32
FGFR3P5	16p11.2
FGFR3P6	1q44
FGFR4	5q35.2
FGFR6	6p21.3
FGFRL1	4p16.3
FGG	4q32.1
FGGY	1p32.1
FGL1	8p22
FGL2	7q11.23
FGR	1p35.3
FGS1	Xq12-q21.31
FGS2	Xq11-q28
FGS3	Xp22.3
FGS5	Xq22.3
FH	1q43
FHAD1	1p36.21
FHAD1-AS1	1p36.21
FHDC1	4q31.3
FHIT	3p14.2
FHL1	Xq26.3
FHL2	2q12.2
FHL3	1p34.3
FHL5	6q16.1
FHOD1	16q22.1
FHOD3	18q12.2
FHP1	13q14.11
FIBCD1	9q34.12
FIBIN	11p14.2
FIBP	11q13.1
FIC1	
FICD	12q23.3
FICP	
FIG4	6q21
FIGLA	2p13.3
FIGN	2q24.3
FIGNL1	7p12.2
FIGNL2	12q13.13
FIGNL2-DT	12q13.13
FILIP1	6q14.1
FILIP1L	3q12.1
FILIP1LP1	13q14.11
FILNC1	6q24.1
FIM1	6p23-p22.3
FIM3	3q27
FIP1L1	4q12
FIRRE	Xq26.2
FIS1	7q22.1
FITM1	14q12
FITM2	20q13.12
FIZ1	19q13.42
FJX1	11p13
FKBP1A	20p13
FKBP1A-SDCBP2	20p13
FKBP1AP1	19q13.43
FKBP1AP2	15q24.1
FKBP1AP3	13q14.13
FKBP1AP4	3q25.1
FKBP1B	2p23.3
FKBP1BP1	14q21.1
FKBP1C	6q12
FKBP1L	reserved
FKBP2	11q13.1
FKBP3	14q21.2
FKBP4	12p13.33
FKBP4P1	4q26
FKBP4P2	9p12
FKBP4P3	9p13.1
FKBP4P4	9p12
FKBP4P5	9p12
FKBP4P6	9p11.1
FKBP4P7	9q13
FKBP4P8	9q21.11
FKBP5	6p21.31
FKBP6	7q11.23
FKBP7	2q31.2
FKBP8	19p13.11
FKBP9	7p14.3
FKBP9P1	7p11.2
FKBP10	17q21.2
FKBP11	12q13.12
FKBP14	7p14.3
FKBP14-AS1	7p14.3
FKBP15	9q32
FKBPL	6p21.32
FKHL1	
FKHL2	
FKHL3	
FKHL4	
FKHL5	
FKHL6	
FKHL7	
FKHL8	
FKHL9	
FKHL10	
FKHL11	
FKHL12	
FKHL13	
FKHL14	
FKHL15	
FKHL16	
FKHL17	
FKHR	
FKHRL1	
FKHRL1P1	
FKHRP1	
FKRP	19q13.32
FKTN	9q31.2
FLACC1	2q33.1
FLAD1	1q21.3
FLCN	17p11.2
FLG	1q21.3
FLG-AS1	1q21.3
FLG2	1q21.3
FLI1	11q24.3
FLICR	Xp11.23
FLII	17p11.2
FLN1	
FLN1L	
FLN2	
FLNA	Xq28
FLNB	3p14.3
FLNB-AS1	3p14.3
FLNC	7q32.1
FLNC-AS1	7q32.1
FLOT1	6p21.33
FLOT2	17q11.2
FLR	
FLRT1	11q13.1
FLRT2	14q31.3
FLRT3	20p12.1
FLT1	13q12.3
FLT1P1	3p21.31
FLT2	
FLT3	13q12.2
FLT3LG	19q13.33
FLT4	5q35.3
FLVCR1	1q32.3
FLVCR1-DT	1q32.3
FLVCR2	14q24.3
FLYWCH1	16p13.3
FLYWCH1L1	3q26.33
FLYWCH1P1	3q26.33
FLYWCH2	16p13.3
FMC1	7q34
FMC1-LUC7L2	7q34
FMN1	15q13.3
FMN2	1q43
FMN2P1	Xp21.3
FMNL1	17q21.31
FMNL2	2q23.3
FMNL3	12q13.12
FMO1	1q24.3
FMO2	1q24.3
FMO3	1q24.3
FMO4	1q24.3
FMO5	1q21.1
FMO6P	1q24.3
FMO7P	1q24.1
FMO8P	1q24.1
FMO9P	1q24.1
FMO10P	1q24.1
FMO11P	1q24.1
FMOD	1q32.1
FMR1	Xq27.3
FMR1-AS1	Xq27.3
FMR1-IT1	Xq27.3
FMR1NB	Xq27.3-q28
FMR3	Xq28
FN1	2q35
FN3K	17q25.3
FN3KRP	17q25.3
FNBP1	9q34.11
FNBP1L	1p22.1
FNBP1P1	2p13.1
FNBP1P2	3p23
FNBP4	11p11.2
FND	reserved
FNDC1	6q25.3
FNDC1-IT1	6q25.3
FNDC2	6
FNDC3A	13q14.2
FNDC3B	3q26.31
FNDC3CP	Xq21.1
FNDC4	2p23.3
FNDC5	1p35.1
FNDC6	3q22.3
FNDC7	1p13.3
FNDC8	17q12
FNDC9	5q33.3
FNDC10	1p36.33
FNDC11	20q13.33
FNIP1	5q31.1
FNIP2	4q32.1
FNL1	2p16-p14
FNTA	8p11.21
FNTAP1	11q14.2
FNTAP2	13q12.11
FNTB	14q23.3
FNTBL1	9
FNZ	
FOCAD	9p21.3
FOCAD-AS1	9p21.3
FOLH1	11p11.12
FOLH1B	11q14.3
FOLH2	11q14
FOLHP	
FOLR1	11q13.4
FOLR1P1	11q13.4
FOLR2	11q13.4
FOLR2L	11q
FOLR3	11q13.4
FOLR3P1	11q13.4
FOS	14q24.3
FOSB	19q13.32
FOSL1	11q13.1
FOSL1P1	4q28.2
FOSL2	2p23.2
FOX#	
FOXA1	14q21.1
FOXA2	20p11.21
FOXA3	19q13.32
FOXB1	15q22.2
FOXB2	9q21.2
FOXC1	6p25.3
FOXC2	16q24.1
FOXC2-AS1	16q24.1
FOXCUT	6p25.3
FOXD1	5q13.2
FOXD1-AS1	5q13.2
FOXD2	1p33
FOXD2-AS1	1p33
FOXD3	1p31.3
FOXD3-AS1	1p31.3
FOXD4	9p24.3
FOXD4L1	2q14.1
FOXD4L2	9p12
FOXD4L3	9q21.11
FOXD4L4	9q21.11
FOXD4L5	9q21.11
FOXD4L6	9p11.2
FOXE1	9q22.33
FOXE2	22q13-qter
FOXE3	1p33
FOXF1	16q24.1
FOXF2	6p25.3
FOXG1	14q12
FOXG1-AS1	14q12
FOXG1B	14q13
FOXG1C	14q11.2
FOXH1	8q24.3
FOXI1	5q35.1
FOXI2	10q26.2
FOXI3	2p11.2
FOXJ1	17q25.1
FOXJ2	12p13.31
FOXJ3	1p34.2
FOXK1	7p22.1
FOXK2	17q25.3
FOXL1	16q24.1
FOXL2	3q22.3
FOXL2NB	3q22.3
FOXL3	7p22.3
FOXL3-OT1	7p22.3
FOXM1	12p13.33
FOXN1	17q11.2
FOXN2	2p16.3
FOXN3	14q31.3-q32.11
FOXN3-AS1	14q32.11
FOXN3-AS2	14q32.11
FOXN3P1	Xq22.1
FOXN3P2	
FOXN4	12q24.11
FOXO1	13q14.11
FOXO1B	5q35.3
FOXO3	6q21
FOXO3B	17p11.2
FOXO4	Xq13.1
FOXO6	1p34.2
FOXO6-AS1	1p34.2
FOXP1	3p13
FOXP1-AS1	3p13
FOXP1-IT1	3p13
FOXP2	7q31.1
FOXP3	Xp11.23
FOXP4	6p21.1
FOXP4-AS1	6p21.1
FOXQ1	6p25.3
FOXR1	11q23.3
FOXR2	Xp11.21
FOXRED1	11q24.2
FOXRED2	22q12.3
FOXS1	20q11.21
FPGS	9q34.11
FPGT	1p31.1
FPGT-TNNI3K	1p31.1
FPR1	19q13.41
FPR2	19q13.41
FPR3	19q13.41
FRA1A	1p36
FRA1B	1p32
FRA1C	1p31.2
FRA1D	1p22
FRA1E	1p21.2
FRA1F	1q21
FRA1G	1q25.1
FRA1H	1q42.1
FRA1I	1q44
FRA1J	1q12
FRA1K	1q31
FRA1L	1p31
FRA1M	1p21.3
FRA2A	2q11.2
FRA2B	2q13
FRA2C	2p24.2
FRA2D	2p16.2
FRA2E	2p13
FRA2F	2q21.3
FRA2G	2q31
FRA2H	2q32.1
FRA2I	2q33
FRA2J	2q37.3
FRA2K	2q22.3
FRA3A	3p24.2
FRA3B	3p14.2
FRA3C	3q27
FRA3D	3q25
FRA4A	4p16.1
FRA4B	4q12
FRA4C	4q31.1
FRA4D	4p15
FRA4E	4q27
FRA5A	5p13
FRA5B	5q15
FRA5C	5q31.1
FRA5D	5q15
FRA5E	5p14
FRA5F	5q21
FRA5G	5q35
FRA6A	6p23
FRA6B	6p25.1
FRA6C	6p22.2
FRA6D	6q13
FRA6E	6q26
FRA6F	6q21
FRA6G	6q15
FRA7A	7p11.2
FRA7B	7p22
FRA7C	7p14.2
FRA7D	7p13
FRA7E	7q21.2
FRA7F	7q22
FRA7G	7q31.2
FRA7H	7q32.3
FRA7I	7q36
FRA7J	7q11
FRA8A	8q22.3
FRA8B	8q22.1
FRA8C	8q24.1
FRA8D	8q24.3
FRA8E	8q24.1
FRA8F	8q13
FRA9A	9p21
FRA9B	9q32
FRA9C	9p21
FRA9D	9q22.1
FRA9E	9q32
FRA9F	9q12
FRA10A	10q23.3 or 10q24.2
FRA10AC1	10q23.33
FRA10B	10q25.2
FRA10C	10q21
FRA10D	10q22.1
FRA10E	10q25.2
FRA10F	10q26.1
FRA10G	10q11.2
FRA11A	11q13.3
FRA11B	11q23.3
FRA11C	11p15.1
FRA11D	11p14.2
FRA11E	11p13
FRA11F	11q14.2
FRA11G	11q23.3
FRA11H	11q13
FRA11I	11p15.1
FRA12A	12q13.1
FRA12B	12q21.3
FRA12C	12q24.2
FRA12D	12q24.13
FRA12E	12q24
FRA13A	13q13.2
FRA13B	13q21
FRA13C	13q21.2
FRA13D	13q32
FRA14B	14q23
FRA14C	14q24.1
FRA15A	15q22
FRA16A	16p13.11
FRA16B	16q22.1
FRA16C	16q22.1
FRA16D	16q23.2
FRA16E	16p12.1
FRA17A	17p12
FRA17B	17q23.1
FRA18A	18q12.2
FRA18B	18q21.3
FRA18C	18q22.2
FRA19A	19q13
FRA19B	19p13
FRA20A	20p11.23
FRA20B	20p12.2
FRA22A	22q13
FRA22B	22q12.2
FRAP	
FRAP2	
FRAS1	4q21.21
